in 	 tar 
0 	 8 
1 	 0 
2 	 0 
3 	 0 
4 	 0 
5 	 0 
6 	 1 
7 	 0 
8 	 0 
9 	 0 
10 	 2 
11 	 0 
12 	 0 
13 	 2 
14 	 1 
15 	 1 
16 	 0 
17 	 4 
18 	 0 
19 	 1 
20 	 1 
21 	 2 
22 	 0 
23 	 0 
24 	 0 
25 	 0 
26 	 0 
27 	 0 
28 	 0 
29 	 1 
30 	 0 
31 	 0 
32 	 1 
33 	 1 
34 	 0 
35 	 0 
36 	 1 
37 	 0 
38 	 0 
39 	 1 
40 	 0 
41 	 1 
42 	 0 
43 	 0 
44 	 0 
45 	 0 
46 	 0 
47 	 1 
48 	 0 
49 	 1 
50 	 0 
51 	 0 
52 	 0 
53 	 0 
54 	 0 
55 	 0 
56 	 0 
57 	 0 
58 	 0 
59 	 0 
60 	 7 
61 	 0 
62 	 0 
63 	 0 
64 	 0 
65 	 0 
66 	 2 
67 	 0 
68 	 0 
69 	 1 
70 	 0 
71 	 0 
72 	 0 
73 	 0 
74 	 27 
75 	 36 
76 	 9 
77 	 0 
78 	 0 
79 	 0 
80 	 28 
81 	 68 
82 	 2 
83 	 44 
84 	 140 
85 	 146 
86 	 173 
87 	 162 
88 	 40 
89 	 0 
90 	 15 
91 	 75 
92 	 15 
93 	 0 
94 	 45 
95 	 15 
96 	 15 
97 	 0 
98 	 0 
99 	 0 
100 	 0 
101 	 0 
102 	 0 
103 	 0 
104 	 30 
105 	 0 
106 	 28 
107 	 3 
108 	 15 
109 	 0 
110 	 27 
111 	 13 
112 	 5 
113 	 6 
114 	 0 
115 	 0 
116 	 0 
117 	 0 
118 	 0 
119 	 0 
120 	 8 
121 	 0 
122 	 17 
123 	 15 
124 	 2 
125 	 10 
126 	 6 
127 	 1 
128 	 2 
129 	 1 
130 	 0 
131 	 1 
132 	 0 
133 	 0 
134 	 2 
135 	 1 
136 	 10 
137 	 21 
138 	 50 
139 	 8 
140 	 5 
141 	 15 
142 	 0 
143 	 28 
144 	 55 
145 	 2 
146 	 1 
147 	 44 
148 	 72 
149 	 117 
150 	 79 
151 	 88 
152 	 16 
153 	 73 
154 	 76 
155 	 76 
156 	 84 
157 	 82 
158 	 50 
159 	 72 
160 	 1 
161 	 16 
162 	 46 
163 	 16 
164 	 0 
165 	 15 
166 	 0 
167 	 0 
168 	 0 
169 	 0 
170 	 35 
171 	 25 
172 	 0 
173 	 0 
174 	 0 
175 	 0 
176 	 0 
177 	 15 
178 	 31 
179 	 6 
180 	 14 
181 	 1 
182 	 0 
183 	 0 
184 	 0 
185 	 0 
186 	 33 
187 	 1 
188 	 14 
189 	 0 
190 	 15 
191 	 30 
192 	 7 
193 	 9 
194 	 5 
195 	 0 
196 	 5 
197 	 0 
198 	 0 
199 	 1 
200 	 0 
201 	 14 
202 	 6 
203 	 14 
204 	 0 
205 	 0 
206 	 29 
207 	 60 
208 	 30 
209 	 40 
210 	 0 
211 	 0 
212 	 0 
213 	 1 
214 	 14 
215 	 42 
216 	 1 
217 	 29 
218 	 61 
219 	 74 
220 	 45 
221 	 60 
222 	 31 
223 	 45 
224 	 15 
225 	 65 
226 	 40 
227 	 15 
228 	 0 
229 	 30 
230 	 0 
231 	 15 
232 	 0 
233 	 2 
234 	 31 
235 	 65 
236 	 26 
237 	 16 
238 	 0 
239 	 16 
240 	 40 
241 	 31 
242 	 1 
243 	 16 
244 	 0 
245 	 10 
246 	 1 
247 	 1 
248 	 0 
249 	 0 
250 	 0 
251 	 45 
252 	 15 
253 	 0 
254 	 5 
255 	 21 
256 	 16 
257 	 5 
258 	 7 
259 	 8 
260 	 5 
261 	 1 
262 	 16 
263 	 0 
264 	 1 
265 	 15 
266 	 13 
267 	 20 
268 	 5 
269 	 0 
270 	 15 
271 	 5 
272 	 5 
273 	 5 
274 	 10 
275 	 0 
276 	 0 
277 	 0 
278 	 0 
279 	 0 
280 	 0 
281 	 1 
282 	 26 
283 	 49 
284 	 29 
285 	 15 
286 	 15 
287 	 15 
288 	 0 
289 	 0 
290 	 0 
291 	 0 
292 	 0 
293 	 0 
294 	 0 
295 	 0 
296 	 0 
297 	 0 
298 	 0 
299 	 15 
300 	 66 
301 	 53 
302 	 22 
303 	 15 
304 	 15 
305 	 0 
306 	 0 
307 	 0 
308 	 0 
309 	 0 
310 	 0 
311 	 0 
312 	 0 
313 	 1 
314 	 0 
315 	 0 
316 	 15 
317 	 31 
318 	 28 
319 	 2 
320 	 17 
321 	 1 
322 	 0 
323 	 0 
324 	 2 
325 	 0 
326 	 0 
327 	 1 
328 	 0 
329 	 0 
330 	 0 
331 	 0 
332 	 16 
333 	 15 
334 	 15 
335 	 15 
336 	 0 
337 	 0 
338 	 0 
339 	 0 
340 	 1 
341 	 0 
342 	 0 
343 	 0 
344 	 0 
345 	 0 
346 	 0 
347 	 5 
348 	 1 
349 	 9 
350 	 15 
351 	 5 
352 	 5 
353 	 0 
354 	 0 
355 	 0 
356 	 0 
357 	 0 
358 	 0 
359 	 0 
360 	 8 
361 	 0 
362 	 0 
363 	 5 
364 	 0 
365 	 2 
366 	 8 
367 	 0 
368 	 0 
369 	 0 
370 	 0 
371 	 30 
372 	 16 
373 	 30 
374 	 16 
375 	 1 
376 	 2 
377 	 2 
378 	 15 
379 	 1 
380 	 4 
381 	 0 
382 	 0 
383 	 0 
384 	 1 
385 	 0 
386 	 0 
387 	 0 
388 	 0 
389 	 1 
390 	 2 
391 	 1 
392 	 0 
393 	 1 
394 	 15 
395 	 2 
396 	 2 
397 	 4 
398 	 4 
399 	 5 
400 	 4 
401 	 4 
402 	 4 
403 	 4 
404 	 4 
405 	 5 
406 	 5 
407 	 4 
408 	 4 
409 	 11 
410 	 9 
411 	 7 
412 	 5 
413 	 6 
414 	 4 
415 	 6 
416 	 2 
417 	 6 
418 	 4 
419 	 4 
420 	 10 
421 	 4 
422 	 4 
423 	 4 
424 	 18 
425 	 4 
426 	 19 
427 	 34 
428 	 19 
429 	 20 
430 	 20 
431 	 5 
432 	 5 
433 	 20 
434 	 5 
435 	 4 
436 	 6 
437 	 5 
438 	 5 
439 	 4 
