1319414997.0;W;11838;WMPAuthorizer;checkGaclUserAuthZ
1319415099.0;E;15737;WMPAuthorizer;checkProxy
1319415102.0;E;11865;WMPAuthorizer;checkProxy
1319415112.0;E;11814;WMPAuthorizer;checkProxy
1319415112.0;E;11814;WMPAuthorizer;checkProxy
1319415118.0;E;11814;WMPAuthorizer;checkProxy
1319415118.0;E;11814;WMPAuthorizer;checkProxy
1319415162.0;E;16371;WMPAuthorizer;checkProxy
1319415192.0;E;16769;WMPAuthorizer;checkProxy
1319415192.0;E;16769;WMPAuthorizer;checkProxy
1319415234.0;E;17139;WMPAuthorizer;checkProxy
1319415240.0;E;16776;WMPAuthorizer;checkProxy
1319415246.0;E;17139;WMPAuthorizer;checkProxy
1319415246.0;E;17139;WMPAuthorizer;checkProxy
1319415250.0;E;16776;WMPAuthorizer;checkProxy
1319415250.0;E;16776;WMPAuthorizer;checkProxy
1319415279.0;E;11838;WMPAuthorizer;checkProxy
1319415297.0;E;16776;WMPAuthorizer;checkProxy
1319415297.0;E;16776;WMPAuthorizer;checkProxy
1319415301.0;E;15737;WMPAuthorizer;checkProxy
1319415314.0;E;16371;WMPAuthorizer;checkProxy
1319415314.0;E;16371;WMPAuthorizer;checkProxy
1319415317.0;E;15737;WMPAuthorizer;checkProxy
1319415337.0;E;15737;WMPAuthorizer;checkProxy
1319415337.0;E;15737;WMPAuthorizer;checkProxy
1319415344.0;E;16769;WMPAuthorizer;checkProxy
1319415356.0;E;17552;WMPAuthorizer;checkProxy
1319415356.0;E;17552;WMPAuthorizer;checkProxy
1319415359.0;E;15737;WMPAuthorizer;checkProxy
1319415371.0;E;17552;WMPAuthorizer;checkProxy
1319415371.0;E;17552;WMPAuthorizer;checkProxy
1319415386.0;E;15737;WMPAuthorizer;checkProxy
1319415401.0;E;17552;WMPAuthorizer;checkProxy
1319415401.0;E;17552;WMPAuthorizer;checkProxy
1319415412.0;E;16776;WMPAuthorizer;checkProxy
1319415421.0;E;17552;WMPAuthorizer;checkProxy
1319415421.0;E;17552;WMPAuthorizer;checkProxy
1319415436.0;E;15737;WMPAuthorizer;checkProxy
1319415451.0;E;18274;WMPAuthorizer;checkProxy
1319415451.0;E;18274;WMPAuthorizer;checkProxy
1319415463.0;E;18250;WMPAuthorizer;checkProxy
1319415473.0;E;18274;WMPAuthorizer;checkProxy
1319415485.0;E;18250;WMPAuthorizer;checkProxy
1319415485.0;E;18250;WMPAuthorizer;checkProxy
1319415487.0;E;16769;WMPAuthorizer;checkProxy
1319415487.0;E;16769;WMPAuthorizer;checkProxy
1319415528.0;E;18263;WMPAuthorizer;checkProxy
1319415536.0;E;18274;WMPAuthorizer;checkProxy
1319415536.0;E;18274;WMPAuthorizer;checkProxy
1319415584.0;E;16769;WMPAuthorizer;checkProxy
1319415594.0;E;18274;WMPAuthorizer;checkProxy
1319415594.0;E;18274;WMPAuthorizer;checkProxy
1319415633.0;E;18263;WMPAuthorizer;checkProxy
1319415644.0;E;15737;WMPAuthorizer;checkProxy
1319415644.0;E;15737;WMPAuthorizer;checkProxy
1319415663.0;E;18250;WMPAuthorizer;checkProxy
1319415677.0;E;16769;WMPAuthorizer;checkProxy
1319415677.0;E;16769;WMPAuthorizer;checkProxy
1319415687.0;E;16371;WMPAuthorizer;checkProxy
1319415708.0;E;17552;WMPAuthorizer;checkProxy
1319415710.0;E;16776;WMPAuthorizer;checkProxy
1319415710.0;E;16776;WMPAuthorizer;checkProxy
1319415720.0;E;18250;WMPAuthorizer;checkProxy
1319415721.0;E;17552;WMPAuthorizer;checkProxy
1319415721.0;E;17552;WMPAuthorizer;checkProxy
1319415739.0;E;16776;WMPAuthorizer;checkProxy
1319415740.0;E;16776;WMPAuthorizer;checkProxy
1319415772.0;E;16371;WMPAuthorizer;checkProxy
1319415776.0;E;16776;WMPAuthorizer;checkProxy
1319415786.0;E;17552;WMPAuthorizer;checkProxy
1319415786.0;E;17552;WMPAuthorizer;checkProxy
1319415791.0;E;16769;WMPAuthorizer;checkProxy
1319415791.0;E;16769;WMPAuthorizer;checkProxy
1319415824.0;E;20835;WMPAuthorizer;checkProxy
1319415827.0;E;18250;WMPAuthorizer;checkProxy
1319415845.0;E;16776;WMPAuthorizer;checkProxy
1319415845.0;E;16776;WMPAuthorizer;checkProxy
1319415848.0;E;18263;WMPAuthorizer;checkProxy
1319415848.0;E;18263;WMPAuthorizer;checkProxy
1319415889.0;E;18250;WMPAuthorizer;checkProxy
1319415910.0;E;20835;WMPAuthorizer;checkProxy
1319415910.0;E;20835;WMPAuthorizer;checkProxy
1319415956.0;E;18250;WMPAuthorizer;checkProxy
1319415965.0;E;16769;WMPAuthorizer;checkProxy
1319415965.0;E;16769;WMPAuthorizer;checkProxy
1319416052.0;E;18250;WMPAuthorizer;checkProxy
1319416066.0;E;18263;WMPAuthorizer;checkProxy
1319416066.0;E;18263;WMPAuthorizer;checkProxy
1319416100.0;E;18263;WMPAuthorizer;checkProxy
1319416110.0;E;20835;WMPAuthorizer;checkProxy
1319416110.0;E;20835;WMPAuthorizer;checkProxy
1319416144.0;E;18250;WMPAuthorizer;checkProxy
1319416158.0;E;21569;WMPAuthorizer;checkProxy
1319416158.0;E;21569;WMPAuthorizer;checkProxy
1319416213.0;E;20835;WMPAuthorizer;checkProxy
1319416234.0;E;20835;WMPAuthorizer;checkProxy
1319416234.0;E;20835;WMPAuthorizer;checkProxy
1319416235.0;E;21406;WMPAuthorizer;checkProxy
1319416252.0;E;21569;WMPAuthorizer;checkProxy
1319416252.0;E;21569;WMPAuthorizer;checkProxy
1319416274.0;E;21569;WMPAuthorizer;checkProxy
1319416290.0;E;18263;WMPAuthorizer;checkProxy
1319416290.0;E;18263;WMPAuthorizer;checkProxy
1319416303.0;E;21569;WMPAuthorizer;checkProxy
1319416323.0;E;18250;WMPAuthorizer;checkProxy
1319416323.0;E;18250;WMPAuthorizer;checkProxy
1319416330.0;E;18250;WMPAuthorizer;checkProxy
1319416342.0;E;18263;WMPAuthorizer;checkProxy
1319416342.0;E;18263;WMPAuthorizer;checkProxy
1319416389.0;E;23471;WMPAuthorizer;checkProxy
1319416393.0;E;20835;WMPAuthorizer;checkProxy
1319416409.0;E;23471;WMPAuthorizer;checkProxy
1319416409.0;E;23471;WMPAuthorizer;checkProxy
1319416418.0;E;20835;WMPAuthorizer;checkProxy
1319416418.0;E;20835;WMPAuthorizer;checkProxy
1319416480.0;E;23471;WMPAuthorizer;checkProxy
1319416491.0;E;21406;WMPAuthorizer;checkProxy
1319416491.0;E;21406;WMPAuthorizer;checkProxy
1319416527.0;E;20835;WMPAuthorizer;checkProxy
1319416539.0;E;21406;WMPAuthorizer;checkProxy
1319416539.0;E;21406;WMPAuthorizer;checkProxy
1319416540.0;E;23455;WMPAuthorizer;checkProxy
1319416549.0;E;20835;WMPAuthorizer;checkProxy
1319416549.0;E;20835;WMPAuthorizer;checkProxy
1319416562.0;E;20835;WMPAuthorizer;checkProxy
1319416585.0;E;20835;WMPAuthorizer;checkProxy
1319416585.0;E;20835;WMPAuthorizer;checkProxy
1319416591.0;E;20835;WMPAuthorizer;checkProxy
1319416614.0;E;20835;WMPAuthorizer;checkProxy
1319416614.0;E;20835;WMPAuthorizer;checkProxy
1319416644.0;E;24330;WMPAuthorizer;checkProxy
1319416645.0;E;24462;WMPAuthorizer;checkProxy
1319416658.0;E;21406;WMPAuthorizer;checkProxy
1319416658.0;E;21406;WMPAuthorizer;checkProxy
1319416665.0;E;24485;WMPAuthorizer;checkProxy
1319416665.0;E;24485;WMPAuthorizer;checkProxy
1319416716.0;E;24470;WMPAuthorizer;checkProxy
1319416727.0;E;20835;WMPAuthorizer;checkProxy
1319416727.0;E;20835;WMPAuthorizer;checkProxy
1319416769.0;E;24462;WMPAuthorizer;checkProxy
1319416784.0;E;24470;WMPAuthorizer;checkProxy
1319416784.0;E;24470;WMPAuthorizer;checkProxy
1319416849.0;E;23455;WMPAuthorizer;checkProxy
1319416862.0;E;24330;WMPAuthorizer;checkProxy
1319416862.0;E;24330;WMPAuthorizer;checkProxy
1319416869.0;E;24470;WMPAuthorizer;checkProxy
1319416883.0;E;21406;WMPAuthorizer;checkProxy
1319416883.0;E;21406;WMPAuthorizer;checkProxy
1319416903.0;E;21406;WMPAuthorizer;checkProxy
1319416927.0;E;20835;WMPAuthorizer;checkProxy
1319416927.0;E;20835;WMPAuthorizer;checkProxy
1319416968.0;E;21406;WMPAuthorizer;checkProxy
1319416983.0;E;24330;WMPAuthorizer;checkProxy
1319416986.0;E;21406;WMPAuthorizer;checkProxy
1319416986.0;E;21406;WMPAuthorizer;checkProxy
1319416994.0;E;24462;WMPAuthorizer;checkProxy
1319416994.0;E;24462;WMPAuthorizer;checkProxy
1319417005.0;E;24330;WMPAuthorizer;checkProxy
1319417023.0;E;23455;WMPAuthorizer;checkProxy
1319417023.0;E;23455;WMPAuthorizer;checkProxy
1319417031.0;E;24330;WMPAuthorizer;checkProxy
1319417040.0;E;21406;WMPAuthorizer;checkProxy
1319417040.0;E;21406;WMPAuthorizer;checkProxy
1319417068.0;E;26347;WMPAuthorizer;checkProxy
1319417074.0;E;26347;WMPAuthorizer;checkProxy
1319417075.0;E;26347;WMPAuthorizer;checkProxy
1319417078.0;E;26347;WMPAuthorizer;checkProxy
1319417078.0;E;26347;WMPAuthorizer;checkProxy
1319417091.0;E;26347;WMPAuthorizer;checkProxy
1319417091.0;E;26347;WMPAuthorizer;checkProxy
1319417091.0;E;26347;WMPAuthorizer;checkProxy
1319417091.0;E;26347;WMPAuthorizer;checkProxy
1319417127.0;E;26347;WMPAuthorizer;checkProxy
1319417150.0;E;26347;WMPAuthorizer;checkProxy
1319417150.0;E;26347;WMPAuthorizer;checkProxy
1319417181.0;E;26347;WMPAuthorizer;checkProxy
1319417193.0;E;26347;WMPAuthorizer;checkProxy
1319417194.0;E;26347;WMPAuthorizer;checkProxy
1319417194.0;E;26347;WMPAuthorizer;checkProxy
1319417211.0;E;26347;WMPAuthorizer;checkProxy
1319417211.0;E;26347;WMPAuthorizer;checkProxy
1319417306.0;E;27062;WMPAuthorizer;checkProxy
1319417327.0;E;27062;WMPAuthorizer;checkProxy
1319417327.0;E;27062;WMPAuthorizer;checkProxy
1319417340.0;E;27062;WMPAuthorizer;checkProxy
1319417353.0;E;27062;WMPAuthorizer;checkProxy
1319417353.0;E;27062;WMPAuthorizer;checkProxy
1319417353.0;E;27062;WMPAuthorizer;checkProxy
1319417362.0;E;27062;WMPAuthorizer;checkProxy
1319417362.0;E;27062;WMPAuthorizer;checkProxy
1319417401.0;E;27062;WMPAuthorizer;checkProxy
1319417414.0;E;27062;WMPAuthorizer;checkProxy
1319417415.0;E;27062;WMPAuthorizer;checkProxy
1319417415.0;E;27062;WMPAuthorizer;checkProxy
1319417424.0;E;27062;WMPAuthorizer;checkProxy
1319417424.0;E;27062;WMPAuthorizer;checkProxy
1319417438.0;E;27813;WMPAuthorizer;checkProxy
1319417456.0;E;27813;WMPAuthorizer;checkProxy
1319417456.0;E;27813;WMPAuthorizer;checkProxy
1319417474.0;E;27813;WMPAuthorizer;checkProxy
1319417494.0;E;27813;WMPAuthorizer;checkProxy
1319417494.0;E;27813;WMPAuthorizer;checkProxy
1319417517.0;E;27813;WMPAuthorizer;checkProxy
1319417533.0;E;27813;WMPAuthorizer;checkProxy
1319417533.0;E;27813;WMPAuthorizer;checkProxy
1319417550.0;E;27813;WMPAuthorizer;checkProxy
1319417565.0;E;27813;WMPAuthorizer;checkProxy
1319417565.0;E;27813;WMPAuthorizer;checkProxy
1319417574.0;E;27813;WMPAuthorizer;checkProxy
1319417583.0;E;27813;WMPAuthorizer;checkProxy
1319417592.0;E;27813;WMPAuthorizer;checkProxy
1319417592.0;E;27813;WMPAuthorizer;checkProxy
1319417598.0;E;27813;WMPAuthorizer;checkProxy
1319417598.0;E;27813;WMPAuthorizer;checkProxy
1319417600.0;E;27813;WMPAuthorizer;checkProxy
1319417601.0;E;27813;WMPAuthorizer;checkProxy
1319417601.0;E;27813;WMPAuthorizer;checkProxy
1319417655.0;E;28599;WMPAuthorizer;checkProxy
1319417666.0;E;28599;WMPAuthorizer;checkProxy
1319417666.0;E;28599;WMPAuthorizer;checkProxy
1319417700.0;E;28599;WMPAuthorizer;checkProxy
1319417710.0;E;28599;WMPAuthorizer;checkProxy
1319417710.0;E;28599;WMPAuthorizer;checkProxy
1319417719.0;E;28599;WMPAuthorizer;checkProxy
1319417735.0;E;28599;WMPAuthorizer;checkProxy
1319417735.0;E;28599;WMPAuthorizer;checkProxy
1319417758.0;E;28599;WMPAuthorizer;checkProxy
1319417773.0;E;28599;WMPAuthorizer;checkProxy
1319417773.0;E;28599;WMPAuthorizer;checkProxy
1319417783.0;E;28599;WMPAuthorizer;checkProxy
1319417800.0;E;28599;WMPAuthorizer;checkProxy
1319417819.0;E;29172;WMPAuthorizer;checkProxy
1319417819.0;E;29172;WMPAuthorizer;checkProxy
1319417837.0;E;29233;WMPAuthorizer;checkProxy
1319417837.0;E;29233;WMPAuthorizer;checkProxy
1319417860.0;E;29289;WMPAuthorizer;checkProxy
1319417879.0;E;29405;WMPAuthorizer;checkProxy
1319417879.0;E;29405;WMPAuthorizer;checkProxy
1319417940.0;E;29227;WMPAuthorizer;checkProxy
1319417954.0;E;29233;WMPAuthorizer;checkProxy
1319417954.0;E;29233;WMPAuthorizer;checkProxy
1319418005.0;E;29227;WMPAuthorizer;checkProxy
